,col_1,col_2,Target,Target_Spurious
464,0.463,0.537,0,1
465,0.5195,0.4805,0,1
466,0.89,0.1097,0,0
467,0.254,0.746,0,1
468,0.969,0.03091,0,0
469,0.05145,0.9487,0,1
470,0.1285,0.8716,0,1
471,0.4941,0.506,0,1
472,0.4863,0.5137,0,1
473,0.921,0.0792,0,0
474,0.7373,0.263,0,1
475,0.1744,0.8257,0,1
476,0.5737,0.4263,0,1
477,0.714,0.2861,0,0
478,0.72,0.2798,0,1
479,0.3208,0.679,0,1
480,0.0967,0.9033,0,1
481,0.904,0.096,0,0
482,0.8975,0.1023,0,0
483,0.3025,0.6978,0,1
484,0.714,0.2861,0,0
485,0.4844,0.5156,0,1
486,0.9175,0.0827,0,0
487,0.331,0.669,0,1
488,0.568,0.4321,0,1
489,0.3108,0.6895,0,1
490,0.913,0.0869,0,0
491,0.6533,0.347,0,1
492,0.927,0.0732,0,0
493,0.788,0.212,0,0
494,0.1404,0.86,0,1
495,0.3328,0.667,0,1
496,0.155,0.8447,0,1
497,0.924,0.0764,0,0
498,0.7866,0.2134,0,0
499,0.855,0.1451,0,0
500,0.2081,0.792,0,1
501,0.04922,0.9507,0,1
502,0.263,0.7373,0,1
503,0.947,0.0534,0,0
504,0.1656,0.8345,0,1
505,0.823,0.1766,0,0
506,0.8965,0.10376,0,0
507,0.0882,0.9116,0,1
508,0.7563,0.2437,0,0
509,0.1755,0.824,0,1
510,0.853,0.1471,0,0
511,0.9487,0.0511,0,0
512,0.3276,0.6724,0,1
513,0.9194,0.0804,0,0
514,0.0895,0.9106,0,1
515,0.6978,0.3025,1,0
516,0.18,0.82,1,1
517,0.823,0.1766,1,0
518,0.2161,0.784,1,1
519,0.6074,0.3923,1,0
520,0.0833,0.9165,1,1
521,0.1097,0.89,1,1
522,0.2766,0.723,1,1
523,0.6226,0.3774,1,1
524,0.9175,0.0827,1,0
525,0.943,0.05707,1,0
526,0.8447,0.155,1,0
527,0.8257,0.1744,1,0
528,0.8843,0.11597,1,0
529,0.8105,0.1896,1,0
530,0.1688,0.831,1,1
531,0.916,0.08386,1,0
532,0.876,0.1242,1,0
533,0.591,0.4092,1,1
534,0.0496,0.95,1,1
535,0.8696,0.1302,1,0
536,0.283,0.717,1,1
537,0.9556,0.04434,1,0
538,0.0927,0.907,1,1
539,0.95,0.04996,1,0
540,0.4111,0.589,1,1
541,0.15,0.85,1,1
542,0.0575,0.9424,1,1
543,0.942,0.05792,1,0
544,0.875,0.1251,1,0
545,0.1461,0.854,0,1
546,0.0716,0.928,0,1
547,0.698,0.3015,0,0
548,0.9253,0.07477,0,0
549,0.09076,0.909,0,1
550,0.8276,0.1721,0,0
551,0.924,0.0764,0,0
552,0.2847,0.7153,0,1
553,0.932,0.06805,0,0
554,0.3242,0.676,0,1
555,0.4321,0.568,0,1
556,0.905,0.09534,0,0
557,0.725,0.2751,0,0
558,0.882,0.1184,0,0
559,0.8174,0.1824,0,0
560,0.7007,0.299,0,1
561,0.7485,0.2517,0,0
562,0.776,0.224,0,0
563,0.897,0.103,0,0
564,0.857,0.1432,0,0
565,0.662,0.3381,0,1
566,0.933,0.0671,0,0
567,0.3887,0.6113,0,1
568,0.053,0.947,0,1
569,0.788,0.212,0,0
570,0.755,0.2451,0,0
571,0.955,0.04468,1,0
572,0.1285,0.8716,1,1
573,0.7007,0.299,1,0
574,0.385,0.615,1,0
575,0.632,0.3684,1,0
576,0.1285,0.8716,1,1
577,0.5737,0.4263,1,0
578,0.0592,0.941,1,1
579,0.728,0.272,1,0
580,0.89,0.1097,1,0
581,0.788,0.212,1,0
582,0.7563,0.2437,1,0
583,0.254,0.746,1,1
584,0.0546,0.9453,1,1
585,0.1082,0.8916,1,1
586,0.3887,0.6113,1,1
587,0.8613,0.1384,1,0
588,0.5176,0.4824,1,0
589,0.696,0.304,1,0
590,0.504,0.496,1,0
591,0.0716,0.928,1,1
592,0.535,0.4648,1,0
593,0.6978,0.3025,1,0
594,0.686,0.314,1,0
595,0.2644,0.736,1,1
596,0.821,0.179,1,0
597,0.6133,0.3867,1,0
598,0.7734,0.2268,1,0
599,0.7417,0.2583,1,0
600,0.585,0.4148,1,0
601,0.1531,0.847,1,1
602,0.5273,0.4727,1,0
603,0.1023,0.8975,1,1
604,0.865,0.1348,1,0
605,0.842,0.1582,1,0
606,0.888,0.112,1,0
607,0.5293,0.4707,1,0
608,0.3328,0.667,1,1
609,0.821,0.179,1,0
610,0.3174,0.6826,1,1
611,0.1571,0.843,1,1
612,0.628,0.372,1,0
613,0.0995,0.9004,1,1
614,0.04886,0.951,1,1
615,0.2659,0.734,1,1
616,0.1255,0.8745,1,1
617,0.772,0.2281,1,0
618,0.1896,0.8105,1,1
619,0.0981,0.902,1,1
620,0.814,0.1859,1,0
621,0.8066,0.1931,1,0
622,0.686,0.314,1,0
623,0.0857,0.914,1,1
624,0.3904,0.6094,1,1
625,0.1871,0.813,1,1
626,0.1294,0.8706,1,1
627,0.1766,0.823,1,1
628,0.1766,0.823,1,1
629,0.361,0.6387,1,1
630,0.1824,0.8174,1,1
631,0.05032,0.9497,1,1
632,0.6826,0.3174,1,0
633,0.1716,0.8286,1,1
634,0.736,0.2644,1,0
635,0.22,0.78,1,1
636,0.8633,0.1366,1,0
637,0.728,0.272,1,0
638,0.8276,0.1721,1,0
639,0.18,0.82,1,1
640,0.283,0.717,1,1
641,0.1277,0.8726,1,1
642,0.9214,0.0786,1,0
643,0.879,0.12085,1,0
644,0.1919,0.808,1,1
645,0.912,0.0879,1,0
646,0.9116,0.0882,1,0
647,0.363,0.637,1,0
648,0.7324,0.2673,1,0
649,0.56,0.4397,1,0
650,0.858,0.1422,1,0
651,0.0901,0.9097,1,1
652,0.952,0.0478,0,0
653,0.9014,0.09875,0,0
654,0.9346,0.0656,0,0
655,0.2351,0.7646,0,1
656,0.2942,0.7056,0,1
657,0.06903,0.931,0,1
658,0.0798,0.9204,0,1
659,0.903,0.0974,0,0
660,0.9033,0.0967,0,0
661,0.09875,0.9014,0,1
662,0.9434,0.05664,0,0
663,0.696,0.304,0,0
664,0.1442,0.856,0,1
665,0.797,0.2031,0,0
666,0.86,0.1404,0,0
667,0.3225,0.6772,0,1
668,0.3416,0.658,0,1
669,0.902,0.0981,0,1
670,0.0376,0.9624,0,1
671,0.1733,0.8267,0,1
672,0.51,0.4902,0,1
673,0.927,0.0732,0,0
674,0.0895,0.9106,0,1
675,0.381,0.6187,0,1
676,0.784,0.2161,0,0
677,0.924,0.0764,0,0
678,0.0552,0.945,0,1
679,0.3433,0.6567,0,1
680,0.9126,0.0876,0,0
681,0.839,0.1614,0,0
682,0.155,0.8447,0,1
683,0.1699,0.83,0,1
684,0.1329,0.867,0,1
685,0.814,0.1859,0,0
686,0.908,0.09204,0,0
687,0.8223,0.1779,0,0
688,0.8154,0.1848,0,0
689,0.9683,0.03186,0,0
690,0.4727,0.5273,0,1
691,0.9194,0.0804,0,0
692,0.254,0.746,0,1
693,0.6,0.4,0,1
694,0.1956,0.804,0,1
695,0.06903,0.931,0,1
696,0.1302,0.8696,0,1
697,0.0534,0.947,0,1
698,0.0601,0.94,0,1
699,0.86,0.1404,0,0
700,0.0869,0.913,0,1
701,0.3293,0.6704,0,1
702,0.0804,0.9194,0,1
703,0.248,0.752,0,1
704,0.04742,0.9526,0,1
705,0.2422,0.758,0,1
706,0.03934,0.9604,0,1
707,0.05835,0.942,0,1
708,0.9087,0.0914,0,0
709,0.3157,0.684,0,1
710,0.893,0.1067,0,0
711,0.739,0.2612,0,1
712,0.797,0.2031,0,0
713,0.231,0.769,0,1
714,0.731,0.269,0,1
715,0.8335,0.1666,0,0
716,0.743,0.2568,0,0
717,0.6567,0.3433,0,0
718,0.0895,0.9106,0,1
719,0.829,0.171,0,0
720,0.7705,0.2295,0,0
721,0.4187,0.5815,0,1
722,0.88,0.12,0,0
723,0.959,0.04114,0,0
724,0.939,0.06097,0,0
725,0.2213,0.779,0,1
726,0.1294,0.8706,0,1
727,0.506,0.4941,0,1
728,0.8926,0.1074,0,0
729,0.1277,0.8726,0,1
730,0.8774,0.1225,0,0
731,0.8955,0.1045,0,0
732,0.5737,0.4263,0,1
733,0.8726,0.1277,0,0
734,0.05835,0.942,0,1
735,0.0974,0.903,0,1
736,0.9575,0.0424,0,0
737,0.2213,0.779,0,1
738,0.8843,0.11597,0,0
739,0.1045,0.8955,0,1
740,0.08154,0.9185,0,1
741,0.07263,0.9272,0,1
742,0.1968,0.803,0,1
743,0.0511,0.9487,0,1
744,0.0895,0.9106,0,1
745,0.096,0.904,0,1
746,0.9336,0.0666,0,0
747,0.6245,0.3757,0,0
748,0.2366,0.7637,0,1
749,0.151,0.849,0,1
750,0.1931,0.8066,0,1
751,0.602,0.398,0,0
752,0.1192,0.881,0,1
753,0.793,0.2069,0,0
754,0.858,0.1422,0,1
755,0.0995,0.9004,0,1
756,0.8984,0.10156,0,0
757,0.5156,0.4844,0,1
758,0.3757,0.6245,0,1
759,0.248,0.752,0,1
760,0.3174,0.6826,0,1
761,0.632,0.3684,0,1
762,0.626,0.3738,0,0
763,0.096,0.904,0,1
764,0.18,0.82,0,1
765,0.699,0.3008,0,0
766,0.10016,0.9,0,1
767,0.585,0.4148,0,0
768,0.0933,0.9067,0,1
769,0.1824,0.8174,0,1
770,0.7705,0.2295,0,0
771,0.9155,0.0845,0,0
772,0.506,0.4941,0,1
773,0.06232,0.9375,0,1
774,0.935,0.0651,0,0
775,0.9155,0.0845,0,0
776,0.8623,0.1376,0,0
777,0.1184,0.882,0,1
778,0.6133,0.3867,0,0
779,0.7373,0.263,0,1
780,0.957,0.04303,0,0
781,0.1348,0.865,0,1
782,0.823,0.1766,0,0
783,0.2108,0.789,0,1
784,0.347,0.6533,0,1
785,0.2366,0.7637,0,1
786,0.01942,0.9805,0,1
787,0.853,0.1471,0,0
788,0.873,0.1268,0,0
789,0.0863,0.9136,0,1
790,0.3923,0.6074,0,1
791,0.6636,0.3364,0,0
792,0.7476,0.2524,0,0
793,0.6353,0.3647,0,1
794,0.859,0.1412,0,0
795,0.1277,0.8726,0,1
796,0.04602,0.954,0,1
797,0.0732,0.927,0,1
798,0.7974,0.2024,0,0
799,0.2737,0.7266,0,1
800,0.788,0.212,0,0
801,0.1561,0.8438,0,1
802,0.89,0.1097,0,0
803,0.0821,0.918,0,1
804,0.3794,0.6206,0,1
805,0.06143,0.9385,0,1
806,0.6826,0.3174,0,1
807,0.8843,0.11597,0,0
808,0.0806,0.9194,0,1
809,0.9175,0.0827,0,0
810,0.9355,0.06464,0,0
811,0.2134,0.7866,0,1
812,0.936,0.0642,0,0
813,0.5,0.5,0,1
814,0.7124,0.2878,0,0
815,0.291,0.709,0,1
816,0.942,0.05835,0,0
817,0.9663,0.03384,0,0
818,0.0845,0.9155,0,1
819,0.1721,0.8276,0,1
820,0.676,0.3242,0,1
821,0.1896,0.8105,0,1
822,0.829,0.171,0,0
823,0.948,0.05185,0,0
824,0.1907,0.809,0,1
825,0.8975,0.1023,0,0
826,0.154,0.8457,0,1
827,0.823,0.1766,0,0
828,0.56,0.4397,0,1
829,0.1302,0.8696,0,1
830,0.4495,0.551,0,1
831,0.6655,0.3345,0,0
832,0.03568,0.9644,0,1
833,0.5737,0.4263,0,0
834,0.9106,0.0895,0,0
835,0.22,0.78,0,1
836,0.937,0.0628,0,0
837,0.841,0.1592,0,0
838,0.8945,0.1056,0,0
839,0.1225,0.8774,0,1
840,0.1366,0.8633,0,1
841,0.8457,0.154,0,0
842,0.0833,0.9165,0,1
843,0.3381,0.662,0,1
844,0.4167,0.583,0,1
845,0.2422,0.758,0,1
846,0.831,0.1688,0,0
847,0.1824,0.8174,0,1
848,0.868,0.1321,0,0
849,0.152,0.848,0,1
850,0.9185,0.08154,0,0
851,0.9365,0.06323,0,0
852,0.8833,0.11676,0,0
853,0.2466,0.7534,0,1
854,0.987,0.01302,0,0
855,0.693,0.3074,0,0
856,0.383,0.6167,0,1
857,0.171,0.829,0,1
858,0.154,0.8457,0,1
859,0.6895,0.3108,0,0
860,0.0424,0.9575,0,1
861,0.0857,0.914,0,1
862,0.932,0.06805,0,0
863,0.919,0.08093,0,0
864,0.875,0.1251,0,0
865,0.7705,0.2295,0,1
866,0.8345,0.1656,0,0
867,0.3794,0.6206,0,1
868,0.2878,0.7124,0,0
869,0.4688,0.5312,0,1
870,0.2815,0.7188,0,1
871,0.5234,0.4766,0,1
872,0.876,0.1242,0,0
873,0.9497,0.05032,0,0
874,0.9287,0.07104,0,0
875,0.8887,0.11127,0,0
876,0.07104,0.9287,0,1
877,0.829,0.171,0,0
878,0.823,0.1766,0,0
879,0.8154,0.1848,0,0
880,0.8774,0.1225,0,0
881,0.2705,0.7295,0,1
882,0.8345,0.1656,0,0
883,0.907,0.0927,0,0
884,0.154,0.8457,0,1
885,0.8633,0.1366,0,0
886,0.755,0.2451,0,0
887,0.8623,0.1376,0,0
888,0.2213,0.779,0,1
889,0.2861,0.714,0,1
890,0.4727,0.5273,0,1
891,0.606,0.3943,0,1
892,0.1981,0.802,0,1
893,0.1184,0.882,0,1
894,0.112,0.888,0,1
895,0.1471,0.853,0,1
896,0.63,0.37,0,0
897,0.9565,0.04337,0,0
898,0.746,0.254,0,0
899,0.1699,0.83,0,1
900,0.851,0.149,0,0
901,0.941,0.0592,0,0
902,0.331,0.669,0,1
903,0.8364,0.1635,0,0
904,0.15,0.85,0,1
905,0.171,0.829,0,1
906,0.09875,0.9014,0,1
907,0.6133,0.3867,0,1
908,0.587,0.413,0,0
909,0.372,0.628,0,1
910,0.891,0.10895,0,0
911,0.8613,0.1384,0,0
